TimeStamp,NbrPulseA,NbrPulseB,NbrPulseC,NbrPulseD,NbrCoincidencePulseAB,NbrCoincidencePulseAC,NbrCoincidencePulseDB,NbrCoincidencePulseDC,NbrCoincidencePulseABC
2025-03-13T10:48:04.013191,57844,65357,83020,37,2377,2342,1,0,70
2025-03-13T10:48:04.106919,57858,65323,83008,48,2387,2311,1,0,85
2025-03-13T10:48:04.216268,57878,65825,82426,43,2514,2335,1,0,83
2025-03-13T10:48:04.419348,57462,65345,82275,44,2458,2393,1,0,76
2025-03-13T10:48:04.507355,57969,65154,82681,42,2425,2312,4,1,84
2025-03-13T10:48:04.616711,57908,65751,83207,41,2563,2265,0,1,84
2025-03-13T10:48:04.710437,58265,66324,83275,35,2483,2310,0,1,80
2025-03-13T10:48:04.806681,59176,66420,84695,40,2518,2404,1,1,80
2025-03-13T10:48:04.916029,59243,67062,84666,40,2574,2411,1,0,75
2025-03-13T10:48:05.025382,59530,67346,85101,47,2587,2470,1,0,101
2025-03-13T10:48:05.134728,60063,67945,84928,28,2667,2463,1,0,95
2025-03-13T10:48:05.212836,60107,67567,84702,56,2598,2488,1,0,81
2025-03-13T10:48:05.310131,59380,67448,85285,44,2559,2446,9,6,118
2025-03-13T10:48:05.412889,59532,67430,85485,56,2489,2474,2,1,75
2025-03-13T10:48:05.522235,59465,67439,85578,50,2573,2493,1,1,81
2025-03-13T10:48:05.605359,59758,67439,85266,55,2544,2489,1,1,83
2025-03-13T10:48:05.714711,60020,67525,85426,47,2485,2482,1,1,69
2025-03-13T10:48:05.824055,59673,67695,85251,44,2528,2510,0,0,94
2025-03-13T10:48:05.917786,59729,67419,85473,56,2629,2401,0,0,90
2025-03-13T10:48:06.011512,59560,67127,84975,39,2423,2482,0,0,73
2025-03-13T10:48:06.120867,59434,67412,84481,41,2530,2392,0,1,87
2025-03-13T10:48:06.226645,59014,67165,84926,44,2531,2463,0,2,88
2025-03-13T10:48:06.320375,58967,67175,84331,41,2572,2481,0,2,98
2025-03-13T10:48:06.405008,58952,67219,84508,48,2507,2472,0,1,96
2025-03-13T10:48:06.514365,59022,66941,84598,43,2354,2482,4,2,92
2025-03-13T10:48:06.623704,58401,66423,83851,39,2347,2488,1,1,81
2025-03-13T10:48:06.717426,58826,66304,83930,42,2413,2391,1,1,87
2025-03-13T10:48:06.811156,58528,66076,84146,45,2407,2347,4,1,95
2025-03-13T10:48:06.904886,57892,66144,83954,45,2339,2366,1,1,102
2025-03-13T10:48:07.014233,58209,66521,83918,41,2371,2317,1,2,81
2025-03-13T10:48:07.123003,58042,65806,83741,53,2402,2437,1,3,69
2025-03-13T10:48:07.216754,57864,66166,83834,47,2343,2342,2,0,81
2025-03-13T10:48:07.326604,57447,66307,82860,42,2265,2266,1,0,80
2025-03-13T10:48:07.420332,57869,127380,83420,44,4166,2340,0,0,154
2025-03-13T10:48:07.514061,57950,594963,82770,45,17721,2243,6,0,573
2025-03-13T10:48:07.607789,58224,611213,83417,43,18364,2335,12,1,629
2025-03-13T10:48:07.717173,58129,618124,83457,50,18660,2297,11,1,563
2025-03-13T10:48:07.826575,58281,622088,83892,52,18619,2399,23,0,627
2025-03-13T10:48:07.921787,58026,625248,83272,49,18848,2421,10,0,646
2025-03-13T10:48:08.016475,58540,1250563,83820,40,18802,2369,10,0,635
2025-03-13T10:48:08.117725,58283,626599,83877,48,18634,2409,15,0,621
2025-03-13T10:48:08.227079,58960,627301,84767,44,19154,2474,11,0,639
2025-03-13T10:48:08.320803,58626,627980,84163,44,19034,2390,10,0,601
2025-03-13T10:48:08.414532,58942,628182,84320,53,19340,2440,7,1,677
2025-03-13T10:48:08.523883,58713,630092,83901,49,19182,2456,8,1,649
2025-03-13T10:48:08.617608,117766,629905,85681,46,19090,2437,12,1,650
2025-03-13T10:48:08.714934,59898,631445,85740,36,19408,2534,11,1,675
2025-03-13T10:48:08.819215,59530,630334,85723,48,19555,2503,12,1,687
2025-03-13T10:48:08.926454,58986,630922,85041,36,19317,2448,6,0,643
2025-03-13T10:48:09.020188,59497,631394,85346,54,19349,2388,18,0,608
2025-03-13T10:48:09.113930,59773,632014,85686,48,19575,2459,11,3,631
2025-03-13T10:48:09.207652,59848,632927,172071,49,19531,2554,10,0,710
2025-03-13T10:48:09.332615,60236,638066,86168,41,19829,2546,13,0,684
2025-03-13T10:48:09.426347,59812,633690,85889,39,19454,2479,11,1,629
2025-03-13T10:48:09.526138,60100,1267141,85588,44,19577,2561,15,1,672
2025-03-13T10:48:09.619270,60013,633092,85817,55,19480,2572,16,1,649
2025-03-13T10:48:09.728619,59996,633721,86419,52,19531,2375,18,0,624
2025-03-13T10:48:09.827900,120173,1268467,86029,50,39137,2525,16,0,693
2025-03-13T10:48:09.921626,59937,1902069,86402,47,19550,2605,17,1,669
2025-03-13T10:48:10.015357,60375,634930,86566,37,19922,2528,7,1,654
2025-03-13T10:48:10.124703,60089,1268612,85851,48,19547,2573,14,1,667
2025-03-13T10:48:10.218432,59941,1904741,86093,46,19509,2549,16,0,664
2025-03-13T10:48:10.312160,59871,2539537,85900,46,19643,2479,11,4,644
2025-03-13T10:48:10.421510,60232,635484,85629,45,19737,2511,5,1,635
2025-03-13T10:48:10.519670,60178,1271067,86130,42,19717,2536,15,1,662
2025-03-13T10:48:10.613371,60236,636215,86276,26,19813,2492,4,0,654
2025-03-13T10:48:10.720612,60117,635720,86590,51,19769,2545,12,0,691
2025-03-13T10:48:10.814340,120580,636035,86071,39,19783,2505,7,1,654
2025-03-13T10:48:10.923690,60090,636585,86085,49,19739,2506,11,1,645
2025-03-13T10:48:11.017418,59701,636278,86369,45,19604,2520,11,2,709
2025-03-13T10:48:11.111146,60143,636153,86094,37,19573,2480,8,0,672
2025-03-13T10:48:11.220494,59671,636909,86285,32,19899,2588,8,0,707
2025-03-13T10:48:11.321405,60257,636785,86237,41,19680,2446,8,1,680
2025-03-13T10:48:11.415138,60352,637468,86317,36,19951,2524,8,0,658
2025-03-13T10:48:11.516881,60341,637345,86584,44,19823,2562,9,1,692
2025-03-13T10:48:11.610606,60257,637744,86404,41,19807,2566,11,0,700
2025-03-13T10:48:11.719955,60549,638508,86136,46,19919,2538,13,0,678
2025-03-13T10:48:11.813684,60153,1277015,85885,48,19636,2505,11,1,654
2025-03-13T10:48:11.923043,60340,638571,86258,44,19794,2533,19,0,691
2025-03-13T10:48:12.016759,59959,1276812,86056,50,19647,2491,11,1,645
2025-03-13T10:48:12.126664,60095,638040,86668,47,19796,2560,7,1,690
2025-03-13T10:48:12.224419,60208,638028,86030,54,19671,2582,14,2,687
2025-03-13T10:48:12.318145,60444,638607,85741,48,20104,2410,15,2,661
2025-03-13T10:48:12.410766,60025,1279168,85856,31,19722,2514,14,1,667
2025-03-13T10:48:12.520118,60038,638353,86053,39,19655,2441,10,0,659
2025-03-13T10:48:12.613845,60768,639316,85957,41,20009,2548,5,0,675
2025-03-13T10:48:12.723216,59716,639777,86544,48,19695,2519,14,0,695
2025-03-13T10:48:12.816921,60344,639883,85717,52,19800,2464,18,0,673
2025-03-13T10:48:12.926327,60116,639412,86106,38,19866,2510,10,0,649
2025-03-13T10:48:13.027160,60386,639406,85917,39,19831,2521,9,0,698
2025-03-13T10:48:13.124409,59756,639677,86342,43,19852,2442,17,4,668
2025-03-13T10:48:13.227649,60270,640629,86513,51,19881,2510,10,1,654
2025-03-13T10:48:13.321376,59635,640720,85772,44,19651,2432,13,0,632
2025-03-13T10:48:13.415105,59958,1280280,86519,53,19914,2411,12,0,696
2025-03-13T10:48:13.508837,60526,1920660,86145,51,19934,2533,9,1,654
2025-03-13T10:48:13.633806,60177,2560528,85698,38,19998,2576,11,1,700
2025-03-13T10:48:13.727532,60306,640713,85959,41,20126,2476,12,3,681
2025-03-13T10:48:13.821265,60317,641228,86397,41,20070,2477,11,2,632
2025-03-13T10:48:13.922550,60040,640440,86002,40,19953,2464,11,1,647
2025-03-13T10:48:14.026260,60183,640325,86547,45,19860,2478,14,1,661
2025-03-13T10:48:14.118382,60133,642815,86232,33,19819,2579,6,0,729
2025-03-13T10:48:14.227736,59843,640574,86274,48,19709,2433,17,4,646
2025-03-13T10:48:14.321469,60443,1282452,86345,57,20098,2531,19,0,698
2025-03-13T10:48:14.430806,60415,640977,86178,42,19960,2539,7,0,682
2025-03-13T10:48:14.524537,60182,641433,171990,50,19866,2544,14,1,726
2025-03-13T10:48:14.618267,60136,1282502,86674,52,19957,2602,14,1,671
2025-03-13T10:48:14.712153,59790,640707,85808,52,19778,2452,13,0,644
2025-03-13T10:48:14.834435,60526,642673,85775,39,19979,2568,9,0,701
2025-03-13T10:48:14.928161,60077,642380,85629,40,20039,2506,9,0,720
2025-03-13T10:48:15.019344,60266,1284682,86399,47,19923,2584,15,1,660
2025-03-13T10:48:15.113073,60421,1927337,86239,44,20207,2542,16,1,702
2025-03-13T10:48:15.222424,59780,642455,86373,47,19773,2484,17,2,661
2025-03-13T10:48:15.316151,59991,641207,86575,45,19990,2482,12,1,690
